               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11085,            0.064253,            0.066115,           0.0010226,            0.056485,          0.00067932,          0.00017794,             0.10261,            0.042781,            0.062771,              0.0937,              0.0007,              0.0007
                   1,            0.096116,            0.067689,            0.057664,           0.0041901,             0.21936,           0.0073308,           0.0020739,            0.082922,            0.048848,            0.044659,            0.086493,           0.0014926,           0.0014926
                   2,            0.084245,            0.079278,            0.045768,            0.020055,              0.1735,            0.037835,            0.012018,            0.070873,            0.089138,            0.031975,            0.079277,           0.0022772,           0.0022772
                   3,            0.074558,            0.072617,            0.039725,             0.63649,             0.12715,            0.047816,            0.014462,            0.073193,            0.063677,            0.028992,            0.072054,            0.003054,            0.003054
                   4,            0.069582,            0.067261,            0.036695,             0.77141,             0.14567,             0.08766,            0.028575,            0.070933,            0.051179,            0.026295,            0.064823,           0.0038228,           0.0038228
                   5,            0.067843,             0.06616,             0.03342,             0.27205,             0.25376,               0.105,            0.034029,            0.068018,            0.043236,            0.024384,            0.057584,           0.0045837,           0.0045837
                   6,            0.065835,            0.065543,            0.034122,             0.60849,              0.2244,             0.14005,            0.051658,             0.06647,            0.038034,            0.022776,            0.050337,           0.0053367,           0.0053367
                   7,            0.065999,            0.058631,            0.032274,              0.7754,             0.20188,             0.20388,            0.095781,            0.058853,            0.036172,            0.021174,            0.043082,           0.0060817,           0.0060817
                   8,            0.064816,            0.057065,            0.029195,             0.56495,             0.29986,             0.22906,            0.085321,            0.058336,            0.035477,            0.018755,            0.035819,           0.0068188,           0.0068188
                   9,            0.064183,            0.053656,            0.025972,              0.5329,             0.31829,             0.21982,            0.096574,            0.064634,            0.036348,            0.015963,            0.028548,           0.0075481,           0.0075481
                  10,            0.061638,            0.051835,            0.024995,              0.5422,             0.33451,             0.25275,             0.10885,            0.057346,            0.041603,            0.014102,            0.021269,           0.0082693,           0.0082693
                  11,            0.059745,            0.052247,            0.021935,             0.60641,             0.31569,             0.25641,             0.10645,            0.064489,            0.042157,            0.012647,            0.013983,           0.0089827,           0.0089827
                  12,            0.058736,            0.053316,             0.01973,              0.5623,             0.30621,             0.23185,            0.097638,            0.054077,            0.040418,            0.011795,            0.009406,            0.009406,            0.009406
                  13,            0.055049,            0.055116,            0.018569,             0.54435,             0.30827,             0.23836,              0.1032,            0.058037,            0.043623,            0.013224,            0.009406,            0.009406,            0.009406
                  14,             0.05316,            0.052152,            0.015623,             0.62932,             0.31227,             0.28663,             0.13078,            0.052988,             0.03919,            0.013072,           0.0093565,           0.0093565,           0.0093565
                  15,            0.049536,            0.046721,            0.015194,             0.56833,             0.36308,             0.30107,             0.14055,            0.050697,            0.038644,            0.012598,            0.009307,            0.009307,            0.009307
                  16,            0.050506,            0.052056,            0.014136,             0.66487,              0.3382,             0.32477,             0.15407,            0.047138,            0.036577,            0.012843,           0.0092575,           0.0092575,           0.0092575
                  17,            0.048679,            0.048763,            0.013241,             0.65076,              0.3429,             0.34404,             0.17176,            0.048329,            0.037352,            0.013145,            0.009208,            0.009208,            0.009208
                  18,            0.046507,            0.051909,             0.01258,             0.67154,             0.33868,             0.33464,             0.17854,            0.044357,            0.035038,            0.012859,           0.0091585,           0.0091585,           0.0091585
                  19,            0.045745,            0.047265,             0.01211,             0.72582,              0.3231,             0.35527,             0.18657,            0.044156,            0.035195,            0.012874,            0.009109,            0.009109,            0.009109
                  20,             0.04455,            0.042687,            0.012232,             0.69245,             0.37061,             0.37029,             0.19711,            0.043767,            0.035227,            0.010545,           0.0090595,           0.0090595,           0.0090595
                  21,            0.042924,             0.04431,            0.010557,              0.7241,             0.33417,             0.35907,             0.17879,            0.044038,            0.035066,            0.010524,             0.00901,             0.00901,             0.00901
                  22,             0.04314,            0.042955,            0.011646,             0.75504,             0.33253,             0.35274,             0.18952,            0.042013,            0.037124,            0.011616,           0.0089605,           0.0089605,           0.0089605
                  23,            0.042031,            0.044699,             0.01179,             0.75557,             0.34506,             0.37731,             0.20913,            0.041802,            0.035359,            0.010417,            0.008911,            0.008911,            0.008911
                  24,            0.041299,            0.042795,            0.010005,             0.71253,             0.34161,             0.35427,             0.19099,            0.041064,            0.036378,             0.01039,           0.0088615,           0.0088615,           0.0088615
                  25,            0.041706,            0.044026,            0.010915,             0.57876,             0.38664,             0.37278,              0.2048,            0.041736,            0.035732,            0.010048,            0.008812,            0.008812,            0.008812
                  26,            0.040786,            0.041608,            0.010249,              0.5887,              0.3645,             0.36874,             0.20276,            0.041172,            0.036642,            0.010065,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039877,            0.043992,           0.0099048,             0.71608,             0.33776,             0.36544,              0.1907,             0.04233,             0.03623,            0.012361,            0.008713,            0.008713,            0.008713
                  28,            0.040378,            0.038601,           0.0088865,             0.47519,              0.3456,             0.35229,             0.19126,            0.043866,            0.036929,            0.010414,           0.0086635,           0.0086635,           0.0086635
                  29,            0.040389,            0.039874,           0.0098954,             0.58438,              0.3564,             0.36828,             0.20167,            0.041628,            0.036989,            0.010804,            0.008614,            0.008614,            0.008614
                  30,            0.040142,            0.044793,           0.0083322,             0.45473,             0.37981,             0.36179,             0.20169,            0.042227,            0.036253,            0.010672,           0.0085645,           0.0085645,           0.0085645
                  31,            0.038819,            0.040962,           0.0087806,             0.53889,             0.35504,             0.36876,             0.19891,            0.040482,            0.036564,            0.011169,            0.008515,            0.008515,            0.008515
                  32,            0.039535,            0.045649,           0.0087462,             0.56799,             0.33015,             0.35566,             0.19682,            0.040905,            0.037998,            0.012065,           0.0084655,           0.0084655,           0.0084655
                  33,             0.03807,            0.040453,           0.0081218,             0.51027,             0.31433,             0.34149,             0.18724,             0.04095,            0.039203,            0.011292,            0.008416,            0.008416,            0.008416
                  34,            0.038397,            0.042051,           0.0083896,             0.50592,              0.3768,             0.36381,             0.20098,            0.042581,            0.040205,            0.011819,           0.0083665,           0.0083665,           0.0083665
                  35,            0.037892,            0.043476,            0.007916,             0.49017,             0.39502,             0.37258,             0.20008,            0.040267,            0.040053,            0.011657,            0.008317,            0.008317,            0.008317
                  36,            0.038109,            0.040972,           0.0071092,             0.50926,             0.36353,             0.35708,             0.20108,            0.040507,            0.039885,            0.012118,           0.0082675,           0.0082675,           0.0082675
                  37,            0.038174,            0.040089,           0.0076702,              0.4454,             0.40228,             0.36483,             0.20925,            0.041872,             0.04027,            0.011231,            0.008218,            0.008218,            0.008218
                  38,            0.036472,            0.042596,            0.007404,             0.63442,             0.39709,             0.39076,             0.21888,             0.03933,            0.037564,            0.010525,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036518,            0.040449,            0.007055,             0.49133,             0.36187,             0.36544,             0.20227,            0.039698,            0.038319,            0.010262,            0.008119,            0.008119,            0.008119
                  40,            0.036854,            0.037156,           0.0075722,             0.44228,             0.45811,             0.37481,             0.21696,            0.038987,            0.038547,           0.0098608,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035834,            0.036838,           0.0064363,             0.47202,             0.43464,             0.37478,             0.21638,             0.03917,            0.037817,           0.0097823,             0.00802,             0.00802,             0.00802
                  42,            0.035648,            0.037956,           0.0069743,             0.46225,             0.36739,             0.35517,             0.20564,            0.038619,            0.037432,           0.0097153,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035471,            0.037542,           0.0071097,              0.4975,             0.36553,              0.3599,             0.20914,            0.039497,            0.038582,            0.010827,            0.007921,            0.007921,            0.007921
                  44,            0.034296,            0.039182,           0.0064314,             0.66356,             0.36731,             0.36193,             0.20824,            0.039388,            0.040207,            0.011371,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034699,            0.038296,           0.0064991,             0.55379,             0.36312,             0.39321,             0.22718,            0.039384,            0.039857,           0.0099597,            0.007822,            0.007822,            0.007822
                  46,            0.034862,            0.036954,           0.0059499,              0.4576,             0.47579,             0.38423,             0.22401,            0.039648,            0.039263,            0.010522,           0.0077725,           0.0077725,           0.0077725
                  47,            0.035096,            0.036815,           0.0063294,             0.52051,             0.33446,              0.3362,             0.19034,            0.039836,            0.041199,            0.011161,            0.007723,            0.007723,            0.007723
                  48,            0.035192,            0.039988,           0.0059661,             0.58147,             0.36236,             0.34605,             0.19897,            0.040204,            0.041529,            0.012554,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034096,             0.03691,           0.0051391,             0.62111,             0.34729,             0.35824,             0.20673,            0.039494,             0.04063,            0.010833,            0.007624,            0.007624,            0.007624
                  50,            0.033905,            0.036174,           0.0065305,             0.53202,             0.33172,             0.35979,             0.20238,            0.040306,            0.040146,            0.011233,           0.0075745,           0.0075745,           0.0075745
                  51,            0.034123,            0.037695,           0.0057507,             0.53961,             0.34215,             0.36816,             0.20889,             0.03932,            0.041024,            0.011357,            0.007525,            0.007525,            0.007525
                  52,            0.033727,            0.033675,           0.0052471,             0.50883,             0.39334,              0.3728,             0.21152,              0.0398,            0.041078,            0.010901,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033372,            0.036796,           0.0056474,             0.52789,             0.37404,             0.35355,             0.20365,            0.040105,            0.040402,            0.011187,            0.007426,            0.007426,            0.007426
